Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.93882062,36.86305768,29.39119563,30.78796707,28.28973831,29.79896553,24.69382301,29.13592844,26.07825278,23.57796869,23.64363865,22.58745316,22.00929802,20.54696588,20.96589761,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,33.60020616,32.40029884,31.69971047,34.10009748,33.09994105,34.60001209,34.00000038,33.20002472,31.49988182,32.3001977,35.90078991,39.29529516,51.64187027,54.64097649,53.62098061,55.81214471,35.14885269,30.18670244,27.0722161,24.38560683,23.49864212,21.94827263,21.60039468,21.46859751,20.18078929,18.61080499,17.52964382,17.12855059,16.8370881,16.79440198,17.95585567,18.22676552,18.76679889,19.56517557,19.99015344,19.78021824,19.90672379,18.96194984
Algeria,DZA,18.58102919,17.8161921,18.06108817,15.37949912,13.04625432,14.40728217,10.34037241,11.65621641,12.23990486,10.15226302,9.694592856,10.11052778,8.957533509,7.589649853,7.02498271,9.629081302,9.1976738,7.807018748,8.07042087,8.404705968,7.938461266,8.516196537,7.755298776,7.103123886,6.838565055,8.27325725,9.282136705,11.67747966,11.13018514,12.00094503,10.38143207,9.22439306,11.20015268,11.20068626,9.232316394,9.544860947,10.80933823,8.729587829,11.47500357,11.10697532,8.395058708,9.749430453,9.224986381,9.810553016,9.440471616,7.69131219,7.543077641,7.570631122,6.586677504,9.343366551,8.466441856,8.110347356,8.770688039,9.851117934,10.28639951,11.58603316,12.29577969,12.26489642
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.487497832,0.459110473,0.406166344,0.444193488,0.442399276,0.405274295,0.382391576,0.399345782,0.442280559,0.43493937,0.499694105,0.534685933,0.612256498,0.577337773,0.496149201,0.470194705,0.492101388,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,12.20473077,12.93123784,11.74269853,14.47579138,17.42596927,16.39071305,28.57142857,7.894736842,10.54421769,6.075800029,6.653213722,7.026869166,9.002017942,12.91118241,6.290256828,5.664689564,8.156377022,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,4.970873327,4.494591911,3.577602092,3.070101825,2.958127648,2.699247922,2.679306638,2.03732252,2.12784595,1.871292919,1.909078716,1.76773324,1.706301664,1.780738638,1.780307058,1.802680609,1.745431468,1.57653988,1.643054474,1.615436913,1.718979214,1.666680575,1.667635776,1.589539743,1.612725299,1.730291789,1.749526585,1.609971056,1.757817673,1.653204551,1.607652611,1.549311488,1.496707093,1.627626225,1.925529231,1.88087874,1.998156663,1.570678402,1.674554131,1.642376541,1.630647341
Arab World,ARB,,,,,,,,,,,,,,,,8.743000195,8.403621224,8.056285402,8.198721254,7.22040993,6.41283968,6.839864286,7.247013363,7.335831117,7.658434592,8.82238294,9.737184165,10.01312553,10.45505644,10.49502696,9.995296742,10.54086377,10.73038383,10.36311402,10.55200693,10.31601362,10.70628676,9.411184663,10.36866025,9.515771431,7.969937017,8.427805218,8.260244612,7.954013784,7.187169315,6.518849468,6.238569645,5.788635457,4.9415583,5.756321567,5.162821968,5.058547242,4.996608902,5.219866974,5.173061861,5.522104489,5.690857326,5.851651988
Argentina,ARG,,,,,,12.90416299,10.27875747,9.980386317,9.721276985,9.185809648,9.637560964,10.86588238,10.98486987,11.95252249,10.23083775,6.583910492,8.152170712,8.087142114,7.504427478,7.796277359,6.353505005,6.475522961,9.596156046,8.658324961,8.345976837,7.634307257,7.80040264,8.094358464,8.977868218,9.616065096,8.123676208,6.71649176,5.990787091,5.136826313,5.082640615,5.35147322,5.610881509,5.221966885,5.252748594,4.457839399,4.679917137,4.568533114,10.20666709,10.3282173,8.36248661,7.938754274,6.935572291,7.452353946,7.318954597,5.273623469,7.132167451,6.99873377,5.781744207,6.052918437,6.712703514,5.156685902,6.35390414,5.60797454
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.98091831,23.61651399,28.48576679,49.25576224,43.46296693,40.69077289,34.79504767,29.41324163,30.84724892,26.95911714,23.21347903,25.59000229,23.44903017,21.52904143,22.59552606,19.09592257,18.71557898,18.24986281,16.3084468,16.91179574,16.99914863,20.32534825,17.91268195,18.43476288,18.07203635,17.22312003,16.39047353,14.93797834
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50398992,0.507614213,0.48582996,0.437636761,0.40254948,0.383292096,0.410021828,0.405263479,0.402353104,0.40131228,0.391614142,0.38657879,0.39359179,0.401578207,0.381582396,0.448459566,0.449380715,0.459125112,,,,,,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.208360772,3.181847788,3.053458606,3.263880118,3.349279215,3.021633065,3.392159576,3.243344481,3.038954458,3.063079924,3.120484097,3.504851256,3.94963545,2.889731561,3.065047692,2.886518942,2.728681485,2.204037248,2.341765208,2.295077016,2.201174832,2.280410601,2.258752004,2.282509346,2.220048428,2.372696749,2.430579825,2.766645923
Austria,AUT,,,,,,,,,,,,,,,,,5.106318753,4.410135576,4.414613949,4.288925672,4.326402824,3.96693533,3.646038546,3.41220939,3.582349284,3.135164516,3.226962797,3.197493303,3.048461579,3.011554997,3.097119719,2.81128193,2.453334761,2.204440982,2.371545955,2.158596332,1.982470995,1.905483443,1.793343924,1.722217322,1.647300213,1.670703396,1.562774411,1.491931898,1.476474393,1.259399635,1.303189459,1.41639156,1.342223027,1.146817768,1.267327672,1.401914934,1.34855139,1.254721216,1.200945336,1.111554694,1.101588998,1.127294759
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.50068213,30.48278443,26.05962532,27.0954024,32.34761424,25.17574281,24.75920721,20.12741112,18.14905453,18.39908028,16.08528857,14.8355783,13.95477728,12.42599594,10.98789023,9.1,7.1,6.7,5.6,6.1,5.5,5.1,5.139769508,5.36626448,5.3,6.2,5.6,5.630989333
