Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,36.931453333333344,35.95758583333333,27.317929999999993,27.692009166666665,24.636796666666665,25.616346666666672,28.322820000000004,28.507792499999997,25.06246583333333,17.4683775,14.526302499999998,24.319800833333332,26.982437500000007,23.369001666666662,28.972980833333335,26.44774583333333,24.180692500000003,19.469345833333335,30.516638333333333,23.133915833333333,26.46844833333334,32.350046666666664,27.175007500000003,24.757738333333332,32.348020833333344
Albania,ALB,77.58703333333334,60.177775000000004,69.83145,78.45966666666666,86.97745583333334,91.31858750000002,67.93781249999999,77.78605,84.77501666666667,67.97972,64.44444166666666,81.79066666666665,77.59108333333334,87.80450833333333,77.52556666666666,80.09016666666666,83.66749833333333,81.15615833333334,103.10453333333334,106.7238175,55.76009000000001,82.12852,81.21732583333333,106.49134166666668,69.91792916666667
Algeria,DZA,8.037638333333332,7.452176666666667,5.518039166666667,7.694884166666667,6.439493333333332,8.816710000000002,7.322305000000001,5.361902499999999,7.536914166666667,4.6255991666666665,4.847236666666667,5.554230833333334,8.751226666666666,8.9122775,5.945208333333333,8.167530833333332,6.981854166666667,6.806056666666667,8.184488333333332,7.591168333333332,7.8716550000000005,7.057975,6.838718333333335,6.453345833333334,6.014099999999999
American Samoa,ASM,263.30791666666664,270.35608333333334,253.37765833333333,300.98283333333336,251.32640833333332,264.10440833333337,208.2494,117.461575,237.40283333333332,243.66949999999997,206.44140833333336,233.44958333333332,247.6414166666667,196.39965000000004,291.84591666666665,311.5998333333334,296.45625,245.93116666666666,257.09465833333326,258.8695,223.9113166666667,246.6861583333333,259.2314166666667,253.9914,298.00482500000004
Andorra,AND,60.44268333333332,81.46109166666668,74.60936166666669,60.336258333333326,54.86869166666668,94.45959166666667,64.2232,52.77708333333334,71.97585,66.2745,53.11113333333333,69.89322500000002,63.467875,65.99451666666666,56.23654166666666,51.45979166666666,50.3137425,65.01677499999998,54.74100833333333,59.53325833333333,56.25065,50.02517833333334,75.459675,73.36564999999999,48.38128416666666
Angola,AGO,83.8449475,69.76624083333333,78.47827666666667,75.16166083333334,72.8463375,76.24960916666666,86.18923083333334,80.44210416666665,84.40915249999999,81.7772925,79.69772083333334,87.31657666666666,82.97817416666668,88.26834166666667,80.55572916666667,92.63840916666668,83.86022583333333,87.52862666666665,86.86581833333334,79.2427325,83.14134999999999,83.70997083333333,79.0114575,82.80631250000002,77.52833333333335
Anguilla,AIA,113.63115833333335,174.0956666666667,147.74340000000004,93.58116666666666,125.49565000000001,143.80181666666667,136.5728083333333,168.378975,159.72265833333333,104.243575,142.88106666666667,147.4394,162.93090833333335,169.52258333333336,190.63715833333336,203.56432500000003,140.50798333333333,189.32673333333332,119.25374166666666,175.70816666666667,168.91449166666663,117.47266666666667,139.772725,163.62064999999998,75.399975
Antigua and Barbuda,ATG,183.33971666666665,251.26186666666663,216.89504166666669,152.06633333333335,195.6755916666667,220.45955833333338,191.84203333333335,246.19126666666668,218.43471666666667,165.92489166666667,202.02416666666667,210.39825000000005,223.65915833333335,256.5405,267.6815833333334,263.06234166666667,199.3525833333333,257.3843333333333,180.55985,247.76789166666666,246.5085,188.32466666666664,203.80695,220.55515000000003,131.663025
Argentina,ARG,52.79295833333333,57.74346666666667,48.06981666666667,47.47831666666667,39.62055833333333,49.12181666666666,52.019291666666675,49.94856666666666,49.68379166666667,58.14715833333333,56.83104166666667,59.436041666666675,45.55464166666666,44.153825000000005,44.928975,45.01644166666666,45.950483333333324,42.70070833333333,41.04019999999999,43.804966666666665,43.09385833333332,48.664962499999994,40.92724166666667,56.192024999999994,52.168375
Armenia,ARM,40.68651916666666,46.359683333333344,42.98585,46.39484166666667,36.30819916666667,38.2559325,40.70254083333334,36.98374166666667,36.953965833333335,32.2306,37.818463333333334,52.395075,55.20886666666667,47.90533333333334,50.17202500000001,44.806908333333325,55.28942833333334,39.36192583333333,53.68077499999999,53.25262750000001,52.11647416666667,38.737408333333335,41.63158333333333,44.03880916666666,51.711144166666664
Aruba,ABW,38.88296833333334,59.5355575,54.34222416666666,51.79815083333333,85.146135,71.88918916666665,35.2174075,61.13106333333334,111.32040833333332,72.37804166666666,43.31372083333333,43.922647500000004,61.997659999999996,105.60880833333334,102.61557499999999,53.58900833333333,69.2262375,98.500525,47.81819166666667,134.413215,90.57891666666667,50.25756666666666,55.757433333333346,39.35215333333334,35.77126416666666
Australia,AUS,37.91295333333333,37.335425,41.79028166666666,27.977292499999994,43.84118833333334,39.067566666666664,43.32812499999999,46.26643333333334,48.25618333333333,56.68749166666666,41.62895833333333,27.311114999999997,38.8508,40.22291666666667,32.722225,38.174757500000005,38.68557833333333,38.33326416666667,38.28921666666666,54.88021666666666,49.515633333333334,39.134571666666666,35.718830000000004,37.06559166666667,36.328875000000004
Austria,AUT,94.34331666666668,96.40249166666666,92.32494166666667,91.2143,99.90879166666667,104.7469,91.72343333333333,97.733275,102.91649166666667,104.23786666666666,94.783575,109.32395833333334,77.27154166666666,95.000275,97.40150833333333,90.2688,101.52111666666667,99.34076666666665,109.63885,101.087125,82.17216916666666,98.96335833333332,102.90975000000002,112.16693333333335,94.60684166666665
Azerbaijan,AZE,34.714840833333334,39.34105833333333,38.130297500000005,41.390908333333336,31.30420833333333,33.23320833333333,39.11303416666667,32.470775,35.57514666666667,32.8481775,32.73385833333333,43.86986666666666,44.261783333333334,46.390575000000005,38.88036666666666,37.742668333333334,37.5358975,35.27384166666667,38.59124166666667,43.12439416666666,38.5887575,33.082328333333336,31.480225000000004,30.763989999999996,41.25846083333334
Bahrain,BHR,7.159881666666666,7.4284225,9.361775833333331,2.800783333333333,9.55628,9.237240833333333,8.234379166666667,7.556359999999999,6.705998333333333,5.981755833333334,2.1902816666666665,6.606566666666667,6.309224166666666,6.973035833333333,6.454965833333332,6.724413333333334,3.8388041666666655,3.424163333333333,8.862398333333333,2.4486841666666668,4.796475833333332,4.544980833333334,3.6739425000000003,7.108183333333334,4.324680833333333
Bangladesh,BGD,224.33851666666666,155.82824833333333,221.7102858333334,155.76376,196.25677500000003,190.20940749999997,192.99324083333332,232.12705166666663,214.98562749999996,202.79699916666672,156.5073375,193.17049250000002,166.11990166666666,167.99947,148.96070166666667,162.07658999999998,241.70331583333336,156.39505999999997,164.03466166666664,175.86754416666668,203.5758958333333,174.80302000000003,176.23071833333333,156.066805,236.49716916666668
Barbados,BRB,157.37934166666668,219.84204999999997,169.15594166666665,157.38628333333332,187.66505833333335,184.40793333333338,151.04030833333334,233.28875000000002,177.04235833333334,189.47391666666667,168.94200833333335,147.99098333333333,139.97835833333335,254.33991666666668,227.38175833333332,169.91682500000002,185.49735833333332,207.21214999999998,157.1715,241.85906750000004,262.41016666666667,194.74058333333335,187.61725,199.2651666666667,126.03450833333333
Belarus,BLR,45.189683333333335,47.01776666666667,53.43473666666668,49.61383333333333,48.86096666666666,48.08148333333333,55.07759166666667,63.77245,48.28406666666666,52.24574416666667,55.27382500000001,44.71360000000001,49.255391666666675,56.49805833333334,52.27754166666667,48.8250425,52.26745833333334,56.237874999999995,67.49799999999999,59.49219166666666,46.346374999999995,62.53161666666667,55.83899166666666,46.862775,44.106567500000004
Belgium,BEL,64.01754166666667,73.29788333333333,77.60202416666668,74.95409166666667,68.08920833333333,52.8190475,64.6115075,83.36386666666667,78.80279166666666,81.83340833333332,89.39578333333333,83.98809999999999,57.44978333333333,72.44089166666667,67.76171666666666,71.8841,79.35555333333333,75.02073333333334,69.486675,74.479325,64.96315,82.59190833333334,71.70941666666667,70.63376666666667,66.4575
Belize,BLZ,167.556475,175.330975,201.627375,151.17406666666668,192.905975,163.96775,166.86270833333333,189.26688333333337,159.60089166666668,162.0896083333333,178.47874166666668,165.12673333333336,138.61075833333334,147.80243333333337,166.91479999999999,234.53752500000004,162.24205,178.73931666666667,138.56410833333334,184.79528333333334,171.64296666666667,168.57029166666666,227.94500000000002,171.645975,160.66626666666667
Benin,BEN,101.09564916666666,80.42905416666666,80.07128333333331,95.49549083333333,96.48977249999997,87.91042333333333,85.8384575,96.33565666666668,96.32359916666668,80.02562916666666,70.90258916666666,87.34549166666669,102.3311625,87.86854666666666,81.22432749999999,82.65950833333332,95.05945666666668,103.11884083333332,90.27984500000001,95.19947833333335,76.42300999999999,86.81155666666668,79.79702916666666,87.60810749999997,77.06675083333333
