Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,128.244,109.621,64.9453,73.6703,67.3363,97.0343,83.3102,68.6585,75.4211,40.8795,36.1115,54.8776,73.3229,85.1779,94.5055,56.9442,78.8999,58.0975,90.1538,68.7396,89.5641,80.8053,87.2827,81.4402,86.5718
Albania,ALB,170.935,109.218,179.688,140.959,187.832,172.717,161.91,171.285,206.998,190.103,125.53,184.618,200.079,144.491,154.413,131.075,173.261,202.139,182.424,213.127,139.968,159.615,165.372,174.362,129.843
Algeria,DZA,18.7229,14.3545,12.1508,19.2076,13.0382,22.3189,15.5676,10.7384,21.3028,13.408,10.4483,14.0886,20.2122,19.8018,12.886,18.3872,12.8161,13.6466,22.0122,11.7308,12.5794,13.7873,12.3675,15.6232,15.0522
American Samoa,ASM,631.44,508.94,525.739,414.14,423.82,605.719,803.979,292.58,432.5,529.099,434.859,356.359,457.02,386.6,577.579,752.82,612.659,647.64,615.46,802.82,784.359,422.54,558.22,585.08,765.02
Andorra,AND,151.664,202.974,158.93,177.296,100.652,191.547,136.898,94.6866,185.335,124.962,87.3391,129.735,119.515,117.353,125.352,109.022,111.483,142.927,151.166,110.814,113.927,85.4828,164.08,151.652,85.6135
Angola,AGO,186.169,162.688,162.859,155.524,151.356,168.963,198.893,193.655,192.708,171.056,168.85,168.88,160.184,187.595,170.339,193.087,179.137,184.837,187.145,174.769,171.788,173.0,170.492,183.589,193.258
Anguilla,AIA,189.25,345.7,424.274,174.55,265.575,317.799,270.549,347.425,380.225,233.1,295.2,246.425,333.399,392.95,372.149,398.424,231.199,410.45,276.399,324.7,327.5,251.925,281.075,341.475,167.75
Antigua and Barbuda,ATG,377.909,513.971,510.28,275.288,377.688,391.142,360.444,471.795,408.313,369.738,390.522,324.186,413.654,626.429,533.061,434.976,287.696,614.179,337.789,409.27,331.606,318.948,360.842,458.409,303.521
Argentina,ARG,112.418,96.9722,76.9188,66.8509,68.3014,96.3072,96.4824,94.6236,99.263,89.2502,94.1451,107.188,86.4711,69.9826,81.3678,82.9481,101.863,85.5946,89.7229,94.0288,80.4125,84.0531,60.5801,86.2156,80.0424
Armenia,ARM,73.4889,106.937,91.0841,86.6743,77.7189,79.312,83.7062,111.039,74.2493,84.4847,82.592,113.062,80.9723,114.77,104.822,103.312,110.813,96.1229,96.3524,124.319,115.302,81.4321,113.886,82.0764,113.567
Aruba,ABW,145.122,220.831,211.912,193.357,204.706,300.905,94.4895,167.697,284.416,264.959,90.9473,160.494,152.407,343.271,265.04,125.798,174.86,254.133,73.465,314.881,226.715,121.369,191.698,119.908,85.3574
Australia,AUS,129.464,82.8894,109.478,101.96,107.464,70.7346,116.199,74.8931,96.6032,154.074,112.107,104.072,115.214,102.691,61.8904,127.431,108.796,108.979,131.999,106.28,120.227,108.576,69.0858,92.0005,114.539
Austria,AUT,181.984,155.717,175.552,148.318,172.554,165.85,199.932,180.472,155.871,155.923,163.474,209.121,128.504,179.523,194.515,196.986,180.57,178.218,215.985,200.835,146.891,168.591,171.178,179.999,157.775
Azerbaijan,AZE,66.62,61.5014,76.15,68.5064,77.1613,73.8733,73.8477,56.9837,69.0323,78.3902,65.7685,82.8504,75.7386,77.2844,71.3175,57.8518,70.3787,59.5989,88.2286,98.923,68.6262,58.0507,50.383,61.6846,99.2632
Bahrain,BHR,36.8903,36.3239,61.6194,24.1909,53.2741,47.7281,60.6667,72.7072,47.4414,41.0088,22.119,33.0537,23.5025,37.9492,35.9439,22.2194,25.4024,34.4313,74.0971,9.87023,39.8098,31.5191,10.2282,41.9433,29.4603
Bangladesh,BGD,516.171,487.155,499.814,373.661,567.261,418.335,491.549,673.745,809.168,462.569,361.635,611.393,651.024,562.999,402.189,447.279,834.988,509.12,511.101,390.22,834.379,487.52,458.96,474.12,878.927
Barbados,BRB,409.461,567.18,317.919,509.916,472.974,402.378,292.501,543.166,329.475,538.979,446.129,276.283,309.071,620.09,575.919,281.952,423.94,442.058,257.426,525.157,519.062,469.483,386.512,441.401,225.6
Belarus,BLR,96.027,82.8995,138.104,66.0334,87.4678,86.8394,105.458,122.267,73.2345,145.392,113.29,113.078,105.59,83.6463,106.662,143.104,137.056,92.1672,138.811,93.6858,123.084,121.217,83.7008,96.3805,78.6146
Belgium,BEL,144.938,118.803,191.778,123.186,161.067,120.03,118.951,160.335,177.163,155.932,166.885,134.246,103.297,138.513,135.2,172.722,122.086,127.589,127.952,155.281,169.743,164.628,113.857,144.758,112.078
Belize,BLZ,312.622,323.469,411.819,435.686,374.62,330.908,356.728,568.144,303.747,354.138,398.08,335.107,259.545,316.724,393.608,518.194,488.578,506.107,256.259,436.31,395.909,350.784,437.549,349.36,345.17
Benin,BEN,227.035,187.464,191.243,220.55,300.96,257.272,180.778,247.06,231.242,194.804,202.255,229.566,262.709,206.423,220.231,224.788,252.633,248.016,218.624,238.018,186.806,214.519,163.986,258.287,214.13
Bermuda,BMU,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,152.1,148.0,148.0,148.0,148.0,144.0,272.799,213.899,152.899,215.699,226.5,298.6,216.899
Bhutan,BTN,470.116,461.002,446.138,447.75,523.046,494.342,409.942,429.128,489.669,453.313,409.879,422.191,534.243,471.553,392.982,406.236,557.32,554.07,468.312,474.665,505.591,517.078,408.394,391.999,465.333
Bolivia,BOL,209.904,186.883,243.799,178.485,138.861,186.366,185.843,174.302,220.026,190.272,223.856,227.682,190.53,252.215,209.002,205.188,200.053,263.369,209.907,208.907,243.688,225.094,176.865,258.947,191.457
Bosnia and Herzegovina,BIH,182.924,185.781,164.796,138.226,179.038,253.128,136.188,165.318,229.089,139.123,224.44,164.82,183.587,148.583,171.029,177.571,131.63,146.191,188.873,201.014,230.988,150.769,180.208,239.408,220.392
Botswana,BWA,139.216,48.4849,71.2309,137.414,85.8683,131.449,121.161,113.253,99.9599,130.845,92.9797,77.1372,76.8954,94.3261,90.0594,134.682,64.8351,124.271,97.7473,158.377,126.543,88.6572,109.312,139.277,51.6875
Brazil,BRA,260.878,232.165,227.005,265.248,227.673,255.542,292.063,212.419,245.532,262.83,231.306,272.975,232.662,270.303,275.704,256.832,238.548,282.227,258.226,239.131,278.911,256.525,234.837,265.892,246.911
British Indian Ocean Territory (Chagos Archipelago),IOT,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
British Virgin Islands,VGB,232.355,462.726,340.805,276.821,327.591,332.345,240.003,409.833,330.136,308.938,356.582,335.456,375.148,406.987,501.436,436.056,310.02,464.532,405.193,422.682,580.192,289.836,524.655,385.948,288.905
Brunei Darussalam,BRN,336.506,438.17,379.092,377.946,492.27,437.91,363.65,491.217,540.945,453.427,605.712,386.397,425.388,455.872,424.196,466.262,434.562,457.318,807.761,515.882,496.357,503.012,501.029,482.973,497.091
Bulgaria,BGR,119.627,118.952,99.1513,81.3572,91.0804,92.9355,104.666,99.5042,92.3263,67.1362,71.8248,96.175,103.884,96.2048,152.766,103.332,113.825,67.6802,97.849,104.479,84.6232,149.287,119.131,122.166,108.152
Burkina Faso,BFA,228.961,221.354,219.363,299.083,244.295,225.479,158.693,218.62,236.864,210.461,219.378,171.873,260.568,193.199,184.339,191.648,283.924,250.003,236.102,235.802,205.62,260.116,240.463,216.241,285.25
Burundi,BDI,155.966,176.706,163.063,207.363,168.213,155.21,269.59,232.704,233.451,212.336,260.412,265.378,204.921,168.827,254.198,261.861,225.12,215.621,207.856,227.178,254.598,187.56,261.125,171.879,235.278
Cambodia,KHM,392.589,397.217,317.967,521.47,471.975,394.294,264.976,426.44,322.55,453.227,417.168,378.886,452.297,505.782,402.283,485.647,786.381,266.319,442.376,386.778,423.31,388.58,331.909,341.446,309.375
Cameroon,CMR,239.193,259.626,289.572,302.929,229.922,276.468,262.014,272.364,305.662,299.922,343.964,316.275,293.146,245.387,264.561,318.834,305.593,319.453,233.032,358.591,289.615,285.219,247.228,276.148,222.623
Canada,CAN,59.2598,65.5172,71.1591,63.0667,64.6613,59.9432,64.6261,56.9184,65.3628,70.2794,64.6485,63.4393,58.756,58.8966,65.2087,60.0109,58.3496,63.1027,63.0318,61.7908,62.6962,61.1793,63.3131,63.3712,58.9165
"Cape Verde, Republic of",CPV,85.2928,59.9582,104.923,68.9564,159.86,71.0879,108.274,47.296,134.148,152.443,99.5186,101.156,98.4523,99.0263,103.47,105.774,98.8963,107.661,103.786,110.912,68.1171,105.651,101.538,98.0184,102.079
Cayman Islands,CYM,375.7,199.8,385.5,247.699,248.899,214.6,179.5,183.699,224.6,338.7,229.3,352.299,221.8,190.3,400.1,247.5,309.1,231.199,225.0,414.399,283.799,272.7,216.8,293.899,167.899
Central African Republic,CAF,238.84,244.123,213.861,238.812,227.778,241.302,219.563,264.888,309.561,253.469,301.624,239.411,228.413,237.654,228.957,233.857,270.223,263.433,237.436,221.597,240.872,241.892,241.666,292.536,231.277
Chad,TCD,112.538,104.959,73.7157,160.356,107.449,94.1104,98.5344,117.52,118.023,105.129,91.1813,81.2128,99.6007,121.082,123.768,162.011,160.775,140.878,111.529,107.917,131.414,139.638,126.641,151.575,142.147
Chile,CHL,90.4771,109.697,98.5586,95.9942,98.8131,81.3806,142.77,78.9111,90.3783,147.931,115.32,106.251,108.275,97.4794,118.919,110.13,66.6589,119.833,104.73,100.002,82.6668,89.6582,102.959,84.819,105.32
China,CHN,119.054,102.326,114.143,117.038,112.519,135.263,106.698,128.904,112.794,103.707,101.342,112.191,101.218,113.631,104.925,107.655,114.052,112.896,103.248,107.361,98.0927,124.163,127.257,106.339,102.628
Christmas Island,CXR,319.399,314.5,316.299,293.0,343.7,391.299,260.0,324.7,337.899,280.5,341.2,354.299,360.799,298.1,328.0,341.2,368.799,326.7,316.799,339.2,309.5,349.1,293.399,300.799,344.6
Cocos (Keeling) Islands,CCK,238.8,455.5,301.5,353.6,424.0,364.899,402.5,578.299,388.7,599.2,583.4,449.2,383.2,273.7,420.1,341.6,296.799,271.5,369.6,638.799,437.7,205.699,416.899,362.1,262.0
Colombia,COL,238.51,235.421,301.914,314.948,335.419,402.889,324.242,372.811,369.758,384.846,313.035,462.952,525.987,433.771,361.644,379.101,354.408,563.74,310.321,367.156,431.419,240.269,332.562,252.356,266.662
Comoros,COM,464.554,242.339,325.254,374.56,288.859,349.323,250.785,320.782,232.785,317.098,273.734,335.998,205.832,305.223,300.831,376.447,243.388,387.098,276.086,379.888,399.134,349.41,263.243,363.875,473.164
"Congo, Rep.",COG,234.464,201.957,193.796,243.596,203.984,200.501,261.771,229.192,283.387,199.749,215.567,231.148,185.671,207.574,229.331,244.207,214.216,233.28,208.996,245.913,232.712,205.32,213.565,203.274,227.501
"Congo, Dem. Rep.",ZAR,179.32,170.211,175.643,189.416,191.772,204.136,204.094,161.165,207.639,188.753,165.503,192.25,178.977,164.51,164.882,239.963,202.903,169.807,173.845,181.269,191.528,182.457,194.949,174.921,188.211
Cook Islands,COK,384.685,319.019,325.298,425.787,499.886,351.693,242.677,248.526,355.419,369.691,409.158,284.136,366.941,225.801,293.268,245.667,245.667,245.667,245.667,245.667,245.667,245.667,245.667,245.667,245.667
Costa Rica,CRI,393.224,436.013,417.361,444.975,586.101,556.146,606.353,517.177,431.652,452.765,446.766,440.164,511.95,603.867,512.907,474.911,454.137,499.807,405.781,524.61,430.593,378.069,390.281,409.196,390.51
Cote d'Ivoire,CIV,209.603,191.036,194.656,236.323,218.898,226.874,240.181,208.732,229.701,208.161,230.616,259.32,241.59,211.0,210.103,246.813,201.199,210.596,215.73,367.201,214.525,197.767,198.738,262.711,189.627
