Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,2.75255,3.98976,2.06406,4.4355,2.36155,1.63855,2.32419,2.48805,3.7432,2.63105,2.92321,2.09939,4.26251,2.73467,2.03237,3.87466,1.12318,4.6288,1.77732,2.32405,3.23454,2.71221,2.66595,4.65478,5.02413
Albania,ALB,26.8189,4.5501,12.6506,13.1311,8.03377,7.18345,9.08805,21.7105,31.6636,6.99524,14.4568,32.3347,16.8868,33.1179,35.298,46.5312,0.44058,10.945,17.7822,8.49231,7.59018,3.95944,5.50401,14.813,1.94643
Algeria,DZA,1.99575,2.0525,1.12972,0.99524,0.6592,2.26842,1.34868,1.95791,0.97543,1.11597,0.32553,0.93544,1.17778,3.2436,1.35048,1.5274,1.54004,1.9491,1.32254,3.37996,3.49012,1.73942,1.51247,1.30532,0.3374
American Samoa,ASM,64.22,50.22,81.9799,91.4,76.4599,42.98,55.9599,29.36,76.82,82.82,69.9399,53.1,107.94,60.2599,121.379,113.879,110.66,92.44,83.3799,97.76,48.8999,74.6399,136.8,71.9599,43.5799
Andorra,AND,14.5929,17.0957,1.49444,10.651,31.0636,57.5517,13.355,24.788,17.3837,21.0693,17.3329,34.1704,11.4656,15.7741,22.5728,13.5307,8.56901,18.6055,25.7137,16.6208,21.6872,5.79884,24.2857,22.7357,1.77501
Angola,AGO,0.42727,0.35312,0.18252,0.2071,0.14351,0.36617,0.28515,0.16095,0.19589,0.15386,0.20106,0.41242,0.22349,0.31253,0.31289,0.32259,0.235,0.38864,0.49801,0.38423,0.31126,0.29488,0.27255,0.28854,0.41799
Anguilla,AIA,65.8499,54.625,38.4,29.625,39.0749,42.9749,32.9249,33.5499,28.375,24.25,42.5499,63.3499,33.075,42.975,26.0,55.125,59.5499,64.1999,29.95,40.15,49.4,13.725,35.2249,40.15,27.1749
Antigua and Barbuda,ATG,97.4466,93.9224,80.4005,59.7082,64.0157,80.705,69.4856,51.0172,54.5794,68.6685,68.8561,109.541,58.4499,113.683,50.765,89.6049,111.424,103.574,58.6212,57.481,106.489,42.423,68.1194,78.7327,73.1167
Argentina,ARG,20.6415,17.8754,15.0541,18.6353,14.0834,10.027,24.362,20.1607,20.0382,20.8136,26.3684,19.2004,20.5945,16.3495,16.4898,12.2467,14.2244,21.1282,13.62,13.377,16.7554,8.00085,16.1189,20.0404,19.591
Armenia,ARM,7.92143,14.5382,10.2085,20.9373,7.64419,4.55869,8.61049,13.3118,2.93076,10.2499,6.86979,11.7133,19.8211,13.5891,17.4459,16.6426,3.45244,8.78541,15.4135,0.31619,7.46499,11.2759,22.837,8.45781,4.99513
Aruba,ABW,8.26521,1.93926,9.64099,2.01566,4.35272,3.82762,5.48386,2.15322,15.9323,12.1693,1.19393,6.07711,0.26942,24.6636,3.35209,22.1116,1.25065,20.7498,24.8661,0.86428,45.0147,13.304,2.08323,0.54847,5.59517
Australia,AUS,7.30604,10.5491,8.64618,6.71208,9.83046,20.7476,10.5505,22.9223,13.4614,10.7898,13.8792,7.06573,14.6617,14.7184,10.0094,7.69458,8.52114,8.54087,11.3675,13.4239,13.5249,8.97736,9.99716,10.0215,8.3616
Austria,AUT,31.5673,18.6689,27.5514,30.5663,13.8801,37.6604,31.5779,15.4093,50.1423,53.4577,33.1349,20.6923,20.0367,46.9502,48.5716,47.6911,12.1818,23.3953,47.2021,45.2791,4.11943,28.8211,44.516,49.6195,18.8286
Azerbaijan,AZE,4.58279,16.5034,9.00937,11.9273,10.7815,10.2926,8.52771,13.1666,1.69616,5.61493,11.9803,10.9776,16.7997,20.8601,15.4848,2.86622,0.95637,17.0914,8.4977,0.89041,8.22289,8.62204,19.5544,9.61048,9.84383
Bahrain,BHR,0.0,0.00152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00792,0.00975,0.00792,0.00975,0.00975
Bangladesh,BGD,13.7705,3.54431,0.00593,0.04772,1.06872,0.23743,9.55559,0.01302,0.13154,0.35132,0.11526,0.31591,4.98562,3.14506,0.90572,0.01116,0.91504,1.77587,1.09742,0.0201,0.32617,2.54444,0.73076,0.53106,5.06601
Barbados,BRB,57.3764,44.7454,58.0035,32.4522,55.4259,54.0025,36.1896,13.0442,41.6142,102.673,20.9803,33.5617,39.0606,101.596,40.999,53.6362,41.6908,54.7966,35.2662,9.59551,103.498,51.3536,61.0828,36.0187,42.4514
Belarus,BLR,18.4549,26.3526,9.94054,18.9896,23.6412,21.0677,16.4767,32.7395,25.9905,6.85383,32.8247,20.7895,19.4697,36.7199,16.7492,9.34571,20.6946,32.1555,11.1044,26.2231,10.1762,38.8374,26.9327,14.7646,9.51511
Belgium,BEL,15.769,29.5186,7.11269,41.6463,22.1141,6.52837,8.16909,14.5769,40.4538,42.6721,28.9631,39.7222,27.6682,31.918,38.9784,19.0811,1.67234,46.6297,34.7352,21.1584,12.4382,23.9332,37.0897,20.4739,38.9527
Belize,BLZ,24.1704,19.6275,55.5336,40.5548,27.3909,35.3516,31.2168,10.1433,21.3152,12.6582,13.4801,15.0932,30.8566,41.7762,15.647,12.677,32.2501,25.5607,24.1169,26.156,24.8177,39.4245,26.3919,31.2623,21.1534
Benin,BEN,1.8003,0.11485,0.13853,1.78688,0.09556,0.61941,0.36453,2.247,1.34373,0.466,0.75686,0.18602,1.02467,0.78728,0.13362,0.17112,0.10557,0.89395,1.68973,1.96296,0.29598,2.50464,4.29769,1.07895,0.4648
Bermuda,BMU,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,50.5,97.0,97.0,65.5,19.7,97.0,97.0,65.5,65.0999,18.9,23.1,24.7,57.5999,56.4,59.9
Bhutan,BTN,1.27252,2.32434,0.16381,0.84683,6.07499,0.0,5.59595,0.21044,1.56471,0.25468,0.02582,3.9727,5.34768,0.77713,0.06595,0.00787,0.3757,1.63274,3.28247,0.03402,0.39032,0.59002,0.24253,0.77441,3.37146
Bolivia,BOL,8.16148,27.7654,13.8,15.9664,7.90942,3.38439,8.8333,4.92963,1.35359,20.7862,18.6827,15.5166,5.92141,10.49,19.5784,15.7723,1.41933,13.3489,24.8485,7.69902,12.3101,10.7118,8.105,15.8119,20.4351
Bosnia and Herzegovina,BIH,33.8083,22.0682,16.6993,32.2475,6.22852,48.7229,27.6219,15.3362,62.697,16.6337,27.6325,34.7135,10.4203,64.2904,47.4284,37.6813,14.0773,23.0385,45.2733,62.0519,29.358,2.62588,23.0214,42.9142,1.36251
Botswana,BWA,0.00079,0.0041,0.05498,0.00621,0.00118,0.07325,0.06229,0.1023,0.07397,0.16469,0.28068,0.17168,0.31172,0.16466,0.00062,0.10935,0.00055,0.03378,0.00494,0.00374,0.27922,0.06146,0.16033,0.05942,0.48311
Brazil,BRA,48.5451,53.9593,60.2982,56.0826,42.6661,52.5808,50.4032,61.3108,45.5621,71.4196,45.7124,55.8905,57.2875,53.0218,46.6327,45.3446,49.9335,54.1944,60.1821,40.6411,50.6007,38.7857,59.2378,49.3802,45.9809
British Indian Ocean Territory (Chagos Archipelago),IOT,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
British Virgin Islands,VGB,76.74,58.2064,35.6016,61.8608,51.5212,23.0681,18.3185,117.119,30.2079,32.914,48.2041,61.6801,50.3245,107.424,9.98334,42.2265,70.2469,44.1464,85.7267,52.5417,90.9205,12.2116,63.5973,28.9243,53.1858
Brunei Darussalam,BRN,90.4892,50.1833,85.0738,131.003,155.217,198.063,82.7174,36.8694,145.674,106.147,120.219,88.2536,85.1529,112.976,86.233,151.23,180.207,224.838,126.444,44.3638,175.837,157.318,151.806,130.102,67.6706
Bulgaria,BGR,14.8913,6.31078,17.1564,7.84975,22.2165,13.2002,9.00595,19.1215,38.7604,12.9403,6.47983,17.8873,16.2877,20.0501,33.9954,28.0598,8.54215,5.22498,28.3897,20.4245,2.15744,13.093,7.00789,10.0058,2.20802
Burkina Faso,BFA,1e-05,0.00015,2e-05,0.00064,0.0,0.00113,0.0,0.03217,0.0,9e-05,0.03569,0.01425,0.03739,0.13599,0.1836,0.12388,0.02665,0.02936,0.02178,0.0218,0.00448,0.02539,0.03863,0.10331,0.00572
Burundi,BDI,4.45669,0.48205,0.02214,3.38934,0.41499,2.37492,0.83319,1.2301,0.05687,1.51291,14.0079,0.12659,0.28377,0.94139,0.31158,3.00776,8.37351,2.2701,1.71929,3.32654,15.4803,1.71632,1.71632,5.19877,3.70545
Cambodia,KHM,5.27934,12.1575,5.00516,7.93169,6.07373,5.62304,14.3266,5.31015,18.7292,14.9987,12.9082,3.18075,3.6128,9.43513,6.1495,9.50336,9.44379,4.51367,3.48986,16.3974,7.9584,16.894,17.6875,5.87504,9.95162
Cameroon,CMR,9.09192,3.90181,14.7782,9.5382,4.48332,12.9391,5.45877,11.2801,10.1749,7.68736,3.30283,5.68236,11.4927,15.7605,9.79665,16.325,21.0129,15.596,13.1954,17.1637,13.9573,14.9804,17.9524,12.5311,4.79933
Canada,CAN,21.5626,20.7286,16.4194,21.9169,23.1061,24.8889,21.4957,20.8006,24.2308,19.2078,20.9583,20.5899,20.6634,18.7236,23.4769,24.6416,22.77,23.493,21.4347,17.889,21.983,20.2352,20.3904,20.4754,22.1772
"Cape Verde, Republic of",CPV,0.39197,2.79223,2.79516,2.79223,2.79223,2.79555,2.79223,2.79555,2.79223,2.79223,11.6626,11.6626,3.64953,3.89366,12.101,12.101,11.6626,12.101,11.6626,11.6626,6.30889,7.18039,2.16174,5.48268,1.71054
Cayman Islands,CYM,7.3,14.8,26.2,15.1,14.5,21.2999,12.7,5.0,10.3,7.6,5.3,27.2,8.4,25.6,7.0,2.2,6.2,7.2,12.4,9.7,1.8,9.4,9.4,9.4,7.4
Central African Republic,CAF,2.20764,3.30626,7.15693,3.37127,4.01655,1.28832,2.38778,5.95923,7.66093,3.37457,6.32404,7.44203,8.27984,2.03049,6.83664,8.29011,6.41295,7.73461,8.55853,9.43089,8.2627,8.19496,7.88676,6.29861,5.36678
Chad,TCD,0.1378,0.1378,0.14087,0.13796,0.14,0.09697,0.13858,0.13946,0.13944,0.14078,0.14078,0.14078,0.14063,0.14033,0.14167,0.14078,0.1406,0.14004,0.14078,0.14078,0.14086,0.14078,0.14006,0.13964,0.14069
