Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,13.118033333333331,12.655889166666668,12.905315,13.142707499999998,13.124963333333332,12.6280025,12.898770833333332,13.215791666666668,14.030992499999998,13.668284166666668,14.442664166666667,14.252154166666669,13.714791666666668,14.59566166666667,13.9710975,14.611314166666665,13.970069166666669,14.12876666666667,14.088180833333332,14.489468333333335,14.071193333333333,13.309705000000001,14.189569166666667,13.966331666666669,14.106833333333336
Albania,ALB,11.038935,11.429765833333335,11.5350175,12.410984999999998,11.239455000000001,11.242713333333333,11.593173333333333,11.970842500000002,12.410826666666665,12.397294166666669,12.350882500000003,12.449306666666665,12.2213625,11.860445,11.340759166666667,11.502803333333334,12.356839166666665,12.5040525,12.403514166666666,12.467121666666669,12.203066666666667,12.733130000000003,12.980953333333334,12.659509166666668,12.8440925
Algeria,DZA,22.303541666666664,22.296033333333337,22.967725,23.23013333333333,23.296808333333335,23.159599999999998,23.433508333333332,23.554241666666666,23.487916666666674,23.54930833333333,24.011433333333333,23.571049999999996,23.821833333333334,23.363758333333337,23.543441666666663,23.506874999999997,23.46571666666667,23.210816666666663,23.758574999999997,24.135575,23.69904166666667,23.61825,23.436300000000003,23.921733333333332,23.577366666666663
American Samoa,ASM,26.87996666666666,26.933283333333335,26.809974999999998,26.71496666666667,27.534983333333333,27.876633333333334,27.693316666666664,28.200000000000003,27.406641666666673,27.734958333333335,28.04831666666667,28.35331666666666,27.74330833333333,27.48330833333333,27.876633333333334,27.579983333333335,28.011641666666662,27.499983333333336,27.529975000000004,27.371624999999998,27.108316666666667,27.236649999999997,27.573308333333333,27.42165,27.284975000000003
Andorra,AND,11.123439166666666,11.0630825,10.9464575,12.163036666666665,12.035940833333335,11.4528975,12.528879166666668,11.71371916666667,11.874128333333331,12.083096666666664,11.936015833333334,12.013468333333334,12.351758333333335,11.807644166666664,11.5087475,12.6198975,12.015952500000003,11.967657500000001,12.459442500000002,11.3718875,12.823491666666664,12.232618333333335,11.793336666666669,12.906339166666667,12.522025000000001
Angola,AGO,21.652199999999997,21.840175,21.791325,21.719133333333335,22.01855833333333,21.843933333333336,22.076425,22.231225,21.531591666666667,21.703733333333332,21.860891666666664,22.015833333333333,22.15574166666667,21.959525,22.44395,21.631033333333335,21.622108333333333,21.629891666666666,22.045299999999994,22.11785833333333,21.54165,21.516050000000003,21.847516666666667,21.66965833333333,21.990958333333328
Anguilla,AIA,26.108291666666663,25.99789166666667,26.208325,26.062475000000003,26.10205833333333,25.795824999999997,25.883291666666665,26.341641666666664,25.779141666666664,25.666633333333333,26.04998333333334,25.927041666666668,25.75831666666667,25.381233333333338,25.768716666666666,25.570799999999995,25.720808333333334,25.181241666666665,25.610358333333334,25.829133333333328,25.310383333333334,25.764566666666667,25.706241666666667,25.874966666666666,25.974983333333327
Antigua and Barbuda,ATG,26.413641666666663,26.44910833333334,26.539458333333332,26.326458333333335,26.520608333333332,26.242316666666664,26.575233333333333,26.973691666666667,26.399008333333327,26.307225,26.671508333333335,26.513658333333336,26.291283333333336,25.847475000000003,26.25155833333333,25.97927499999999,26.063299999999998,25.469691666666666,25.850624999999994,26.271491666666662,25.734916666666667,25.97134166666667,25.977575,25.978825,26.265608333333333
Argentina,ARG,14.416430833333335,14.058547500000001,14.470358333333332,15.006952499999999,14.381900000000002,14.442928333333334,14.781023333333335,14.514306666666668,14.252250000000002,13.869855833333332,14.523695833333333,14.245260833333333,14.695490000000001,14.657501666666667,14.353645833333337,14.817034999999999,13.93362583333333,14.818340000000001,14.875953333333333,14.368443333333332,14.644876666666667,15.00546166666667,14.918502499999997,14.858544166666663,14.994750833333335
Armenia,ARM,7.337956666666667,6.0501683333333345,6.597405000000001,7.4859841666666656,8.153590000000001,7.925410833333335,7.4361766666666655,8.645465833333335,8.386563333333333,8.138538333333333,8.630244166666666,7.65718,7.381585833333333,8.163215833333334,7.8282,8.002855,7.57872,7.879105833333333,7.854050833333333,9.616990833333332,7.235039166666667,8.458978333333334,7.865621666666666,8.687546666666666,8.997245
