Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,25.6184,24.7731,24.6131,25.1082,25.8751,24.6476,25.8201,25.9184,25.7171,24.602,26.0017,25.4505,26.2262,25.572,26.6306,26.5177,25.8432,26.7946,25.8204,25.7227,25.8103,26.5931,26.7007,26.4271,26.4833
Albania,ALB,20.636,23.2438,22.0339,23.2285,22.5173,21.1635,21.1433,22.9155,22.5292,22.7077,23.1412,22.3552,23.7499,21.8735,21.7975,22.4065,23.6673,23.0361,22.6453,22.9497,22.6534,24.1593,24.1214,21.93,24.3203
Algeria,DZA,32.8734,32.3624,32.9804,33.7617,33.1027,32.7689,33.041,34.0439,33.0464,33.4364,33.8343,33.9327,34.1426,33.1221,33.8954,34.0537,32.9901,33.6905,34.8059,33.9377,33.5472,33.7427,32.9662,33.7235,34.0243
American Samoa,ASM,27.74,27.4599,27.54,27.92,28.28,28.4599,28.94,29.94,28.3799,28.7199,28.94,29.54,29.5,28.9599,29.14,28.74,28.84,28.8799,29.48,29.2199,28.04,28.02,28.4,28.3799,28.5
Andorra,AND,22.0101,20.8876,19.9496,21.8414,21.4618,20.2367,21.4816,20.8563,21.0423,20.6617,21.1463,19.094,22.4005,20.9852,21.2684,23.4756,19.6521,20.4107,22.0717,21.8431,21.3437,22.3249,22.2789,19.6565,22.4218
Angola,AGO,23.2026,23.3955,24.0889,23.5981,24.0777,24.155,24.138,24.081,23.1459,23.7868,23.2166,23.6676,23.8603,23.5128,24.2682,23.4168,22.9958,23.8708,23.8019,23.9935,23.2188,23.2291,23.4798,23.213,23.9963
Anguilla,AIA,27.475,27.0499,27.45,27.2999,27.475,27.0,27.2,27.775,27.2999,27.0,27.2999,27.1749,27.0499,26.95,27.275,26.9,26.7999,27.15,27.275,27.15,26.5749,27.275,27.125,26.9749,27.325
Antigua and Barbuda,ATG,27.8112,27.3891,27.6719,27.8285,27.8903,27.4758,27.7489,28.1498,27.8489,27.679,27.8573,27.6834,27.3822,27.1719,27.659,26.981,27.2244,27.4084,27.5184,27.3719,27.1136,27.2453,27.2164,27.0453,27.571
Argentina,ARG,20.6518,20.9902,20.967,21.6774,21.9275,20.3649,21.5838,20.4909,20.6933,21.1872,21.3766,20.6642,21.2978,21.8975,21.0753,21.374,20.8947,21.2693,21.3719,21.6245,21.3591,22.4866,22.3206,21.7558,21.3202
Armenia,ARM,21.5623,19.3764,20.083,19.9181,21.3648,21.5603,21.4064,22.0248,22.5583,23.434,22.0008,20.376,20.6801,21.5712,21.7763,23.1275,20.6512,21.7292,20.1332,22.1011,22.3711,21.9636,20.2022,22.8021,22.2136
Aruba,ABW,29.449,29.1196,29.3503,29.5262,29.8229,29.6411,29.8582,29.6853,29.3629,29.3718,29.6775,29.5184,29.2625,29.0625,29.4102,29.4716,29.3309,29.341,30.0181,29.6578,29.5081,29.6453,29.5218,29.5831,29.9717
Australia,AUS,28.3242,27.5406,28.4304,28.6267,28.0108,27.9627,28.0413,28.6697,28.9983,27.0208,29.0503,27.7694,28.5553,28.2629,28.3293,28.9207,28.8825,28.9621,28.2974,28.3893,28.5962,27.9185,29.5589,28.7527,28.9366
Austria,AUT,16.8981,19.3445,15.9715,18.5766,18.3432,14.9894,16.2675,16.5191,16.5768,17.3042,17.4484,16.5947,19.1504,16.4171,16.13,19.1421,16.936,16.3256,17.4612,18.0849,17.3933,17.7159,18.2774,16.6264,19.3121
Azerbaijan,AZE,24.0279,22.5977,23.0185,22.6409,24.1382,24.8276,24.4964,25.0143,26.0435,26.1041,24.7837,24.6877,24.4073,24.6139,25.1086,26.0052,24.9936,24.9453,24.6701,26.1266,26.4877,25.2101,24.2136,26.1168,25.2195
Bahrain,BHR,34.7235,35.8387,36.2116,36.58,35.9895,37.1727,36.7983,37.7739,37.155,37.3358,36.8166,37.3461,36.8104,37.0366,36.5531,37.4465,37.1263,37.6973,38.0185,37.8939,37.6325,38.121,37.3585,37.4954,37.6944
