Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,0.18512,1.06128,-0.1381,0.95785,0.96791,-0.6992,1.23577,-0.1233,0.3448,1.53432,-0.1108,1.78139,2.29033,3.2693,1.14555,-0.1252,0.71744,-4.4382,1.90667,2.51884,0.31344,-0.3594,1.70512,-0.4978,2.3096
Albania,ALB,1.26417,1.40526,1.16634,3.09745,2.15399,2.50438,3.76679,2.06467,2.02598,-0.4274,0.78145,1.24765,-0.1592,1.27936,0.69162,0.17408,1.792,2.84431,2.56435,2.70716,2.38682,0.62279,3.61131,4.85585,3.52784
Algeria,DZA,10.1656,10.6198,10.6643,11.8896,10.7191,14.1288,13.8353,12.9772,12.9995,11.6858,12.9131,12.1762,12.4418,12.9519,10.6838,11.5242,12.9306,11.6145,11.793,14.26,13.4763,11.4263,12.8521,13.255,11.4575
American Samoa,ASM,25.94,26.3599,25.76,25.0599,26.88,27.18,26.5399,26.26,26.62,26.4599,27.18,26.92,25.92,26.6,26.52,26.52,26.5,25.76,26.0599,26.4599,26.44,26.3599,26.66,26.12,25.8599
Andorra,AND,3.23389,1.64174,3.84308,4.5868,4.22179,3.60381,4.2413,3.95982,4.38959,2.69174,2.16774,4.96172,3.1993,4.14931,2.04873,3.6408,4.75842,4.20975,3.42768,2.76326,3.64594,0.90088,3.66325,5.10204,3.53907
Angola,AGO,18.0924,18.2432,18.6034,18.0093,18.2152,18.0501,18.9064,19.3991,18.683,18.4675,18.0734,19.1813,18.5852,18.5104,19.2203,18.6657,18.5631,18.5262,18.3823,18.8672,18.209,17.8674,19.3588,18.8412,18.4202
Anguilla,AIA,24.5,24.6749,24.525,24.5,24.425,24.375,23.9249,25.025,23.25,23.925,24.225,24.225,24.7,23.775,23.45,23.7999,24.025,23.525,23.85,24.275,23.9499,23.85,24.35,24.6749,24.5
Antigua and Barbuda,ATG,24.8039,25.2488,24.9299,24.7428,24.7224,24.9713,24.8821,25.86,23.952,24.4677,24.736,24.6946,25.1018,24.4114,24.0592,24.636,24.4468,23.8906,24.0553,24.9163,24.1251,24.2568,24.7821,24.7127,24.7786
Argentina,ARG,7.25015,5.19359,6.87765,7.58377,6.67288,6.44601,8.33019,8.85934,6.66907,5.65091,7.06236,6.1675,7.61736,7.76315,7.83753,9.1227,5.70346,7.09989,6.8336,6.42415,7.17847,6.58674,7.83835,8.2181,8.34653
Armenia,ARM,-6.7508,-9.0899,-7.9617,-6.801,-5.184,-6.7269,-5.8987,-7.1319,-4.35,-6.4085,-5.8482,-8.2329,-5.7439,-5.0528,-7.1693,-7.77,-9.4806,-12.148,-7.6268,-2.2444,-5.3406,-8.0788,-9.081,-7.5881,-4.1368
Aruba,ABW,26.447,26.7466,26.8047,26.9659,27.5704,27.283,27.0774,27.7705,26.8153,26.2175,27.3095,27.1422,27.2853,26.5671,26.3853,26.2431,27.0275,26.0867,26.1752,26.6038,26.5828,26.8192,27.3487,27.0316,27.3874
Australia,AUS,14.5718,14.6894,14.677,14.3905,14.4588,14.9158,13.4077,14.2722,14.6995,13.9657,14.2907,14.4648,14.8961,14.2571,15.0366,13.7502,13.3409,14.324,14.6845,14.6273,14.2608,13.5637,15.4174,14.3534,14.3923
Austria,AUT,-4.8685,-1.8185,-3.028,-1.495,-3.2093,-4.7131,-3.5143,-2.9817,-2.895,-4.0514,-4.8341,-2.1634,-4.8031,-3.9679,-4.6354,-5.3896,-2.1175,-0.9496,-3.8253,-4.6781,-2.1115,-5.4793,-2.9613,0.07168,-1.186
Azerbaijan,AZE,-1.2601,-2.3667,-2.1396,-2.7856,-0.1205,-1.8672,-0.6941,-1.8681,0.84912,-0.6878,0.30648,-3.7577,0.29213,-0.9347,-1.0586,-2.535,-0.0687,-6.2384,-1.5133,0.80855,-0.5653,-3.7631,-1.7894,-1.2426,0.22403
Bahrain,BHR,17.4742,13.8923,15.1759,17.4389,17.1141,16.6753,17.2632,15.5612,18.1351,17.3994,15.8899,16.8528,16.4593,17.1624,15.6424,15.5784,14.6104,14.6496,15.5607,18.3146,16.859,16.7549,17.8935,16.1693,17.1025
Bangladesh,BGD,17.4435,17.5152,17.9699,18.6482,17.9987,18.9435,18.141,18.1305,18.8246,17.744,18.4069,18.9315,17.812,18.4611,18.578,19.2378,18.6668,18.8123,20.0699,18.6366,17.9102,16.8083,17.6566,16.7647,17.358
Barbados,BRB,25.2988,25.1988,25.1325,24.9674,25.3662,25.8325,25.4325,26.1325,24.9325,24.7988,24.9325,25.3325,25.5988,25.9325,25.4988,25.5,25.8325,25.1325,25.3325,26.3662,25.7325,25.2651,25.4988,25.2988,25.4988
